,passer_player_name,player_id,total_passing_yards,pass_yds_per_attempt,pass_attempts,passing_tds,first_down_passes,cmp,ints,cmp_percentage,epa,yac_sum,yac_avg,air_epa_avg,yac_epa_avg,air_wpa_avg,yac_wpa_avg,two_pt_sum,sacks,fumbles,fumbles_to_turnovers,td_rate,int_rate,rusher_player_name,rushing_tds,rushing_yds_sum,rushing_yds_avg,fpts
0,A.Dalton,00-0027973,293.0,11.72,45.0,1.0,17.0,25.0,1.0,0.5555555555555556,-0.1258148972857152,90.0,3.6,0.8878959000238054,-0.5531907801082987,0.002070631118643885,-0.0040385663073598055,0,8.0,1.0,1,0.022222222222222223,0.022222222222222223,A.Dalton,0.0,-2.0,-0.4,11.520000000000001
1,A.O'Connell,00-0038579,102.0,10.2,23.0,0.0,5.0,10.0,0.0,0.43478260869565216,-0.25494313784110384,31.0,3.1,0.312656464793359,-0.5278838030824043,-0.004639197479594845,-0.008382721380753973,0,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,4.08
2,A.Rodgers,00-0023459,3322.0,10.15902140672783,529.0,24.0,143.0,327.0,7.0,0.6181474480151229,0.02688249207015748,2119.0,6.480122324159021,0.2355690701729585,-0.10430535558653406,0.003106122223512912,0.00026240588723303217,1,29.0,4.0,1,0.045368620037807186,0.013232514177693762,A.Rodgers,1.0,61.0,2.9047619047619047,226.98
3,B.Allen,00-0032434,72.0,4.235294117647059,31.0,0.0,3.0,17.0,1.0,0.5483870967741935,-0.775109382426754,80.0,4.705882352941177,-0.08251315956780002,-0.6713578957491181,-0.0006626114576647532,-0.006717466804063083,0,1.0,0.0,0,0.0,0.03225806451612903,0,0.0,0.0,0.0,0.8799999999999999
4,B.Cook,00-0040398,739.0,8.397727272727273,173.0,2.0,35.0,88.0,7.0,0.5086705202312138,-0.3950512176995715,417.0,4.738636363636363,0.20739128993819547,-0.45125829212564766,0.014334022435983309,-0.015700140395185573,1,19.0,1.0,1,0.011560693641618497,0.04046242774566474,B.Cook,0.0,49.0,3.769230769230769,28.46
5,B.Mayfield,00-0034855,3693.0,10.7667638483965,585.0,26.0,172.0,343.0,11.0,0.5863247863247864,-0.006026301206413756,1923.0,5.606413994169096,0.47433533238398085,-0.36527449102243975,0.003369310674858621,-0.00017511666409006168,2,36.0,4.0,3,0.044444444444444446,0.018803418803418803,B.Mayfield,1.0,382.0,6.945454545454545,271.92
6,B.Nix,00-0039732,3931.0,10.131443298969073,639.0,25.0,196.0,388.0,11.0,0.6071987480438185,0.09153997054750149,2093.0,5.394329896907217,0.34018754784192895,-0.19708802056637445,0.0021282375267571182,0.004027432858154776,4,22.0,2.0,1,0.03912363067292645,0.017214397496087636,B.Nix,5.0,356.0,4.289156626506024,306.84000000000003
7,B.Purdy,00-0037834,2167.0,11.0,298.0,20.0,130.0,197.0,10.0,0.6610738255033557,0.1944689508372938,829.0,4.208121827411167,0.5469733746151922,-0.2642921441307462,0.0012124433058806662,0.00776401088846719,1,11.0,3.0,2,0.06711409395973154,0.03355704697986577,B.Purdy,3.0,147.0,4.454545454545454,177.38
8,B.Young,00-0039150,3011.0,9.904605263157896,508.0,23.0,153.0,304.0,11.0,0.5984251968503937,-0.04336805093566654,1539.0,5.0625,0.35064977949006787,-0.27587966638321737,0.0029600180744080865,0.0006269846600791486,1,27.0,4.0,2,0.045275590551181105,0.021653543307086614,B.Young,2.0,216.0,4.0,222.04
9,C.Oladokun,00-0037324,235.0,6.714285714285714,63.0,1.0,10.0,35.0,0.0,0.5555555555555556,-0.4781449068634459,156.0,4.457142857142857,0.002453867529547139,-0.22096809503440795,-0.0025685036347972037,-0.002991334140340606,0,8.0,1.0,1,0.015873015873015872,0.0,C.Oladokun,0.0,18.0,3.6,13.200000000000001
